rank,time,date,name,position,DOB,venue,nationality 
1981,17:24.08,18 NOV 2017,Zoe MANNING,4,2002,Brisbane (AUS),AUS
1982,17:24.12,13 MAY 2017,Franziska ALTHAUS,5,1998,Bautzen (GER),GER
1983,17:24.13,10 MAR 2017,Miranda ROSS,6f1,,Fullerton (USA),USA
1984,17:24.14,03 JUN 2017,Lihua NIU,1,14 OCT 1999,Ordos (CHN),CHN
1985,17:24.25,10 MAR 2017,Ashlee POWERS,19f1,,Los Angeles (USA),USA
1986,17:24.26,14 APR 2017,Noemie NOULLET,25,,Lewisburg (USA),USA
1986,17:24.26,22 JUN 2017,Jaana NIEMEL&#196;,2,01 JUN 1972,Pudasj&#228;rvi (FIN),FIN
1988,17:24.34,17 MAR 2017,Jean KOZYNIAK,3,13 MAR 1996,Hamilton (NZL),NZL
1988,17:24.34,28 APR 2017,Madeline IVY,2f1,25 MAR 1995,Indianola (USA),USA
1988,17:24.34,07 MAY 2017,Alexandria ORTEGA,7,,Durham (USA),USA
1988,17:24.34,14 MAY 2017,Kelsey SWANSON,4f1,,Houston (USA),USA
1992,17:24.36,03 JUN 2017,Tania POMA,3,17 NOV 1977,Tarija (BOL),BOL
1993,17:24.46,31 MAR 2017,Daryl PHILL,26f1,,San Francisco (USA),USA
1993,17:24.46,13 MAY 2017,Anna STODDARD,29,,Columbia (USA),USA
1995,17:24.49,03 SEP 2017,Mia VAN WAGENEN,7,1999,Aalborg (DEN),DEN
1996,17:24.50,11 MAY 2017,Alaina SPEARS,7f3,,Naperville (USA),USA
1997,17:24.58,26 MAR 2017,Nicole URRA,1,17 APR 1999,Santiago de Chile (CHI),CHI
1998,17:24.60,04 SEP 2017,Jin Ju RI,4,,Pyongyang (PRK),PRK
1999,17:24.61,10 JUN 2017,Emily NIST,1,,"Portland, OR (USA)",USA
2000,17:24.64,24 MAR 2017,Sydney TEAGUE,8f2,,Raleigh (USA),USA
2001,17:24.65,21 APR 2017,Nadia SAPONARA,8f2,,Princeton (USA),USA
2002,17:24.76,27 APR 2017,Katherine DIEKEMA,8f4,,Hillsdale (USA),USA
2003,17:24.79,24 MAR 2017,Emma NEWTON,6,,Houston (USA),USA
2004,17:24.82,28 FEB 2017,Makhosazane MHLONGO,10,03 JAN 1982,Durban (RSA),RSA
2005,17:24.89,19 JUL 2017,Aurora ERMINI,1f3,18 OCT 1986,Roma (ITA),ITA
2006,17:24.92,29 APR 2017,Stephanie REXUS,2f2,,Bellingham (USA),USA
2007,17:24.95,24 MAR 2017,Hannah BONAGUIDI,15f3,,Raleigh (USA),USA
2008,17:25.00,04 OCT 2017,Chun-Mi KIM,6,10 MAR 1992,Pyongyang (PRK),PRK
2009,17:25.04,07 APR 2017,Emily KEARNEY,2f3,10 NOV 1995,Mount Berry (USA),GBR
2010,17:25.06,13 APR 2017,Tavyn LOVITT,21f3,20 JUN 1995,Azusa (USA),USA
2010,17:25.06,14 MAY 2017,Kayla DOLL,18,,Lawrence (USA),USA
2012,17:25.08,06 MAY 2017,Emily MURPHY,8,,Newark (USA),USA
2013,17:25.11,22 APR 2017,Maria BALDWIN,4,,Champaign (USA),USA
2014,17:25.13,08 APR 2017,Mary REISER,2,,Athens (USA),USA
2015,17:25.14,18 JUN 2017,Patrycja KAPAŁA,1,26 MAR 1997,Wrocław (POL),POL
2016,17:25.20,14 APR 2017,Casey NORTON,26,,Lewisburg (USA),USA
2017,17:25.25,21 APR 2017,Abigail HIRST,16f2,,Palo Alto (USA),USA
2018,17:25.26,03 JUN 2017,Claudia CORNEJO,4,23 JUL 1989,Tarija (BOL),BOL
2019,17:25.28,29 APR 2017,Ruby WATSON,3f2,,Bellingham (USA),CAN
2020,17:25.29,28 JUN 2017,Eilidh MACKENZIE,4,28 APR 1989,Visby (SWE),GBR
2021,17:25.37,14 JUL 2017,Federica CASATI,1,20 MAY 1989,Recanati (ITA),ITA
2022,17:25.38,24 MAR 2017,Jessica KING,9f2,,Raleigh (USA),USA
2023,17:25.50,11 JUN 2017,C&#225;tia SANTOS LEIT&#195;O,4,09 JAN 1992,Vagos (POR),POR
2024,17:25.53,17 MAR 2017,Serena GALE-BUTTO,7f3,,Memphis (USA),USA
2025,17:25.54,30 APR 2017,Gabriela Leticia ROCHA,2,1993,Campinas (BRA),BRA
2026,17:25.56,03 SEP 2017,Lise KANDBORG,8,1985,Aalborg (DEN),DEN
2027,17:25.59,25 AUG 2017,Kristin Andrea SALVESEN,11,27 OCT 1999,Sandnes (NOR),NOR
2028,17:25.60,06 MAY 2017,Stephanie CROY,10f2,,Eagle Rock (USA),USA
2029,17:25.62,13 APR 2017,Summer PIERSON,10f4,,Azusa (USA),USA
2030,17:25.69,06 MAY 2017,Alesha VOVK,4,,"Lexington, KY (USA)",USA
2031,17:25.71,13 APR 2017,Alana ENABNIT,11f4,20 AUG 1993,Azusa (USA),USA
2032,17:25.72,14 APR 2017,Emma KUSCH DAHLE,21f1,1997,Torrance (USA),CAN
2033,17:25.74,27 APR 2017,Nicole LEE,28,05 FEB 1996,Des Moines (USA),USA
2034,17:25.78,13 APR 2017,Alyssa FOOTE,12f4,,Azusa (USA),USA
2035,17:25.81,21 APR 2017,Caitlin KLOPFER,3,,Norman (USA),USA
2036,17:25.87,27 APR 2017,Cassandra HRUSKO,20f2,,Philadelphia (USA),USA
2037,17:25.89,13 APR 2017,Brittany GRANT,24f1,,Azusa (USA),USA
2038,17:25.91,01 MAY 2017,Yewbdar DENYS,1,1990,Oordegem (BEL),BEL
2039,17:25.95,28 JUL 2017,Cera GEMMELL,5,,Scotstoun (GBR),GBR
2040,17:25.96,13 MAY 2017,Gaone BATHOENG,6,,Francistown (BOT),BOT
2041,17:25.97,02 DEC 2017,Sarah SCHIFFMANN,1f2,,Sydney (AUS),AUS
2042,17:26.12,14 APR 2017,Hannah OWENS,27,,Lewisburg (USA),USA
2043,17:26.13,01 JUL 2017,Laura GUZELJ BLATNIK,1,28 AUG 1997,Slovenj Gradec (SLO),SLO
2043,17:26.13,23 JUL 2017,Pinar DEMİRTAŞ,9,07 APR 1998,Grosseto (ITA),TUR
2045,17:26.18,01 APR 2017,Maria SUAREZ,3,30 SEP 1988,Gij&#243;n (ESP),ESP
2046,17:26.21,02 JUL 2017,Aneta KONIECZEK,3,08 JUN 1997,Suwalki (POL),POL
2047,17:26.23,14 APR 2017,Alex FOSSUM,27f2,,Torrance (USA),USA
2048,17:26.25,10 JUN 2017,Breanna HUSCHKA,2,,"Portland, OR (USA)",USA
2049,17:26.29,09 JUN 2017,Mary Grace STROZIER,5,,Nashville (USA),USA
2050,17:26.30,04 SEP 2017,Ri CHUNG SIM,5,,Pyongyang (PRK),PRK
2051,17:26.30,23 DEC 2017,Ashley BROWN,8,1994,Geelong (AUS),AUS
2052,17:26.35,24 MAR 2017,Susannah CATE,10f2,,Raleigh (USA),USA
2053,17:26.40,14 MAY 2017,Ferahiwat GAMACHU,1,23 APR 1981,Dudelange (LUX),BEL
2054,17:26.44,07 MAY 2017,Emily LEONARD,11,,Amherst (USA),USA
2055,17:26.50,10 JUN 2017,Rhiannon SILSON,7,18 OCT 1988,Manchester (GBR),GBR
2056,17:26.53,28 APR 2017,Emily TAYLOR,4f1,,Irvine (USA),USA
2056,17:26.53,21 JUL 2017,Lina MIGLAR,10,03 OCT 1988,Z&#252;rich (SUI),SUI
2058,17:26.58,13 APR 2017,Dakota TELL,5f3,,Platteville (USA),USA
2059,17:26.65,23 DEC 2017,Bronwyn HUMPHRYS,9,1992,Geelong (AUS),AUS
2060,17:26.69,15 APR 2017,Riley GILMORE,9f1,,Providence (USA),USA
2061,17:26.70,22 APR 2017,Kirsten JOHNSTON,5,,Waco (USA),USA
2062,17:26.71,08 APR 2017,Diana VIZZA,15f1,,Princeton (USA),USA
2063,17:26.74,09 JUL 2017,Kamila POGODA,2,18 JUN 1999,Toruń (POL),POL
2064,17:26.81,10 JUN 2017,Susanne &#214;LHORN,4,1991,Regensburg (GER),GER
2065,17:26.83,18 MAR 2017,Kelly BRENNAN,1,,Terre Haute (USA),USA
2066,17:26.87,27 APR 2017,Emily HAYNES,9f4,,Hillsdale (USA),USA
2067,17:26.88,13 APR 2017,Katy CULVER,22f3,,Azusa (USA),USA
2068,17:26.95,24 MAR 2017,Daphney STANFORD,2,,Tallahassee (USA),USA
2069,17:26.97,10 MAR 2017,Kate ROBINSON,21f1,30 SEP 1994,Los Angeles (USA),GBR
2070,17:26.98,27 APR 2017,Amber HAWKINS,21f2,,Philadelphia (USA),USA
2071,17:26.99,10 MAR 2017,Julie SAWYER,7f1,,Fullerton (USA),USA
2072,17:27.01,22 APR 2017,Erica BROWN,5,,Champaign (USA),USA
2073,17:27.09,10 JUN 2017,Blandine BITZNER-DUCRET,5,01 DEC 1965,Colmar (FRA),FRA
2074,17:27.18,23 JUL 2017,Anni SUOMINEN,11,22 MAY 1992,Sein&#228;joki (FIN),FIN
2075,17:27.20,10 JUN 2017,Natalie FARROW,8,23 APR 1984,Manchester (GBR),GBR
2076,17:27.23,02 DEC 2017,Samantha KING,6,1998,Sydney (AUS),AUS
2077,17:27.30,02 JUN 2017,Fancy CHEPKORIR,7,2001,Nakuru (KEN),KEN
2078,17:27.31,28 APR 2017,Chandler CARREON,3,,Lawrence (USA),USA
2078,17:27.31,28 MAY 2017,Maria Yolanda GUTIERREZ,1,12 JAN 1982,Pereiro de Aguiar (ESP),ESP
2080,17:27.32,07 APR 2017,Haley SANDVIK,12,,Tuscaloosa (USA),USA
2081,17:27.33,23 JUL 2017,Jimena MART&#205;N,12,28 JUN 1985,Barcelona (ESP),ESP
2082,17:27.35,24 MAR 2017,Allison DORR,11f2,,Raleigh (USA),USA
2083,17:27.36,06 MAY 2017,Katrina GRAHAM,11f2,,Eagle Rock (USA),USA
2084,17:27.39,13 APR 2017,Sammy LAURENZO,2f5,,Azusa (USA),USA
2085,17:27.40,08 JUN 2017,Shantel CHEERIO,5,,Mombasa (KEN),KEN
2086,17:27.43,28 JUL 2017,Yekaterina BESPALOVA,15,21 NOV 1997,Zhukovskiy (RUS),RUS
2087,17:27.47,23 DEC 2017,Sophie RYAN,10,25 JUN 1987,Geelong (AUS),AUS
2088,17:27.58,14 JUN 2017,Irina SMOLNIKOVA,1,21 JUL 1980,Almaty (KAZ),KAZ
2089,17:27.69,23 JUN 2017,Brittany LANG,4,,Sacramento (USA),USA
2090,17:27.73,22 APR 2017,Remziye TEMEL,2,25 JAN 1995,Antalya (TUR),TUR
2091,17:27.82,21 APR 2017,Carole HARSCH,17f1,,Princeton (USA),USA
2092,17:27.90,25 AUG 2017,Ida BERGSL&#216;KKEN,12,22 MAY 1985,Sandnes (NOR),NOR
2093,17:27.94,09 JUL 2017,Karolina IZNEROWICZ,3,25 MAY 1998,Toruń (POL),POL
2094,17:28.02,10 JUN 2017,Alaw BEYNON-THOMAS,2,15 NOV 1989,Cardiff (GBR),GBR
2095,17:28.03,22 APR 2017,Cameron GUELDNER,7,,Lawrence (USA),USA
2096,17:28.04,07 MAY 2017,Pascaline JEROTICH,3f2,,Easton (USA),KEN
2097,17:28.12,08 APR 2017,Haylee LOVE,1f2,,Columbia (USA),USA
2098,17:28.14,06 MAY 2017,Katherine TREANOR,2,,Williamstown (USA),USA
2098,17:28.14,22 JUL 2017,Maria Paula GUERRERO,7,24 MAY 1999,Trujillo (PER),COL
2100,17:28.23,31 MAR 2017,Ivy HANDLEY,3,,Charleston (USA),USA
2101,17:28.25,03 JUN 2017,Dilyana MINKINA,1,06 JAN 1997,Veliko Tarnovo (BUL),BUL
2102,17:28.28,09 JUL 2017,Jennie BARAGAR-PETRASH,2,09 DEC 1998,Ottawa (CAN),CAN
2103,17:28.31,14 MAY 2017,Meghan LLOYD,20,,Lawrence (USA),USA
2104,17:28.35,31 MAR 2017,Piper MISSE,10f4,,St. Louis (USA),USA
2105,17:28.39,28 APR 2017,Leilani RIOS,5f1,,Irvine (USA),USA
2106,17:28.44,28 APR 2017,Olivia STEIN,4f1,,Corvallis (USA),USA
2107,17:28.49,24 OCT 2017,Ya-Chun YU,3,,Yilan (TPE),TPE
2108,17:28.62,10 MAR 2017,Sarah KAPPLE,1f2,,Los Angeles (USA),USA
2108,17:28.62,31 MAR 2017,Ashley DRISCOLL,7f2,,San Marcos (USA),USA
2110,17:28.65,21 APR 2017,Chelsie PENNELLO,12f2,,Princeton (USA),USA
2111,17:28.66,12 APR 2017,Molly EASTMAN,2f2,,St. Paul (USA),USA
2111,17:28.66,11 MAY 2017,Rachel WENTWORTH,8f3,,Naperville (USA),USA
2113,17:28.70,27 AUG 2017,Eleonora OLSMATS,11,1999,Helsingborg (SWE),SWE
2114,17:28.72,31 MAR 2017,Melissa HRUSKA,13f3,,San Francisco (USA),USA
2115,17:28.73,22 APR 2017,Rachel GARIPPO,6,,Champaign (USA),USA
2116,17:28.77,07 MAY 2017,Colleen SANDS,12,,Amherst (USA),USA
2117,17:28.82,25 JUN 2017,Lisa HEIMANN,1,26 JUL 1987,Bottrop (GER),GER
2118,17:28.83,11 JUN 2017,Leydy Yolanda ROMERO DURAN,4,18 APR 1993,Medell&#237;n (COL),COL
2119,17:28.84,06 MAY 2017,Lora ONTL,2,16 OCT 1999,Zagreb (CRO),CRO
2120,17:28.88,25 SEP 2017,Heena THAKUR,8,17 NOV 1996,Chennai (IND),IND
2121,17:28.90,08 JUN 2017,Josephine WANJIKU,6,,Mombasa (KEN),KEN
2122,17:28.94,14 APR 2017,Maggie HANLON,29,,Lewisburg (USA),USA
2123,17:28.98,21 APR 2017,Anna HAVRANEK,15,,Columbus (USA),USA
2124,17:29.00,14 MAY 2017,Anna BOYERT,21,04 OCT 1993,Lawrence (USA),USA
2125,17:29.02,14 APR 2017,Katelyn CALLAGHAN,30,,Lewisburg (USA),USA
2126,17:29.03,18 JUN 2017,Irini-Ria MICHALA,2,17 NOV 1997,Patra (GRE),GRE
2127,17:29.15,28 JUN 2017,Audrey AMIYA-HALL,2,1993,Suva (FIJ),AUS
2128,17:29.16,13 MAY 2017,Victoria O&#39;NEIL,4,,San Francisco (USA),USA
2129,17:29.21,18 FEB 2017,Kylie SIMPSON,5f1,,Brisbane (AUS),AUS
2130,17:29.26,24 JUN 2017,Anna BONIFACE,11,27 APR 1991,Watford (GBR),GBR
2131,17:29.28,16 JUN 2017,Kelly WESOLOWSKI,2f1,,Greensboro (USA),USA
2132,17:29.34,31 MAR 2017,Ellyn ATKINSON,14f3,,San Francisco (USA),USA
2133,17:29.40,24 SEP 2017,Viola GIUSTINO,3,1986,Ravenna (ITA),ITA
2134,17:29.48,07 MAY 2017,Francesca COCCHI,3,22 MAR 1993,Modena (ITA),ITA
2135,17:29.51,06 MAY 2017,Karina TAVARES,9,,Newark (USA),USA
2136,17:29.55,24 JUN 2017,Sunilda LOZANO,2,12 JUL 1996,Lima (PER),PER
2137,17:29.61,23 JUL 2017,Katri NIEMIST&#214;,12,07 APR 1994,Sein&#228;joki (FIN),FIN
2138,17:29.63,24 SEP 2017,Flavia FERRARI,9,12 FEB 1999,Modena (ITA),ITA
2139,17:29.70,15 APR 2017,Jessica ELLIOTT,4,,Philadelphia (USA),USA
2140,17:29.72,28 JUL 2017,Michelle SANDISON,7,11 APR 1980,Scotstoun (GBR),GBR
2141,17:29.74,17 AUG 2017,Manju YADAV,4,,Tiruchirapalli (IND),IND
2142,17:29.76,10 JUN 2017,Ivana GANCHEVA,5,1988,Regensburg (GER),GER
2143,17:29.79,24 MAR 2017,Georgie MACKENZIE,14f4,,Raleigh (USA),USA
2144,17:29.82,06 MAY 2017,Grace OETTING,5,,"Lexington, KY (USA)",USA
2145,17:29.85,02 JUN 2017,Sook-Jung LEE,8,29 SEP 1991,Kimchun (KOR),KOR
2146,17:30.00,08 JUL 2017,Sophie MAZENC,7,09 DEC 1977,Albi (FRA),FRA
201,15:48.10,11 JUN 2017,Bethany SACHTLEBEN,8f1,09 FEB 1992,"Portland, OR (USA)",USA
202,15:48.39,28 JUL 2017,Natalya LEONTYEVA,5,05 JUL 1987,Zhukovskiy (RUS),RUS
203,15:48.43,24 SEP 2017,Akane YABUSHITA,2f1,06 JUN 1991,Osaka (JPN),JPN
204,15:48.51,10 JUN 2017,Sarah DISANZA,7,22 AUG 1995,Eugene (USA),USA
205,15:48.56,16 JUL 2017,Jessica MARTIN,1,01 OCT 1992,Lloret de Mar (ESP),GBR
206,15:48.88,02 JUN 2017,Stacey Chepkemboi NDIWA,7,06 DEC 1992,And&#250;jar (ESP),KEN
207,15:48.95,02 DEC 2017,Maya IINO,18f6,05 FEB 1988,Yokohama (JPN),JPN
208,15:49.02,18 MAY 2017,Cally MACUMBER,10,19 AUG 1990,Los Angeles (USA),USA
209,15:49.17,13 APR 2017,Gina SERENO,1f1,16 JUN 1995,Azusa (USA),USA
210,15:49.23,06 OCT 2017,Akane SEKINO,9,28 JUL 1990,Matsuyama (JPN),JPN
211,15:49.26,23 SEP 2017,Minami YAMANOUCHI,2f2,1992,Yokohama (JPN),JPN
212,15:49.48,13 MAY 2017,Katrina WOOTTON,2,02 SEP 1985,Solihull (GBR),GBR
213,15:49.58,31 MAR 2017,Claire GREEN,5f1,12 MAY 1996,Palo Alto (USA),USA
214,15:49.59,25 JUN 2017,Roxana Elisabeta BIRCA,2,22 JUN 1988,Vaasa (FIN),ROU
215,15:49.73,21 OCT 2017,Hanami SEKINE,4f2,26 FEB 1996,Oita (JPN),JPN
216,15:49.77,29 APR 2017,Sabrina MOCKENHAUPT,2,06 DEC 1980,Berlin (GER),GER
217,15:50.15,10 JUN 2017,Lilli BURDON,9,26 JAN 1998,Eugene (USA),NZL
218,15:50.22,01 APR 2017,Yuka MIYAZAKI,3f2,21 AUG 1992,Kumamoto (JPN),JPN
219,15:50.23,25 JUN 2017,Esma AYDEMIR,3,20 APR 1992,Vaasa (FIN),TUR
220,15:50.45,26 MAY 2017,Anna BELOKOBYLSKAYA,4,10 OCT 1995,Sochi (RUS),RUS
221,15:50.46,22 JUL 2017,Katarzyna RUTKOWSKA,1,14 JAN 1994,Białystok (POL),POL
222,15:50.55,13 MAY 2017,Emma MITCHELL,3,02 SEP 1993,Solihull (GBR),IRL
223,15:50.59,06 MAY 2017,Ai INOUE,7f1,13 JAN 1990,Nobeoka (JPN),JPN
224,15:50.61,24 MAR 2017,Erin TESCHUK,2f5,25 OCT 1994,Raleigh (USA),CAN
225,15:50.71,09 DEC 2017,Azuki HORIGUCHI,10f3,,Yamaguchi (JPN),JPN
226,15:50.77,31 MAR 2017,Danielle SHANAHAN,6f1,,Palo Alto (USA),USA
227,15:51.08,13 APR 2017,Taylor WERNER,2f1,01 MAY 1998,Azusa (USA),USA
228,15:51.58,06 JUL 2017,Anastasiya IVANOVA,1,04 NOV 1982,Grodno (BLR),BLR
228,15:51.58,13 DEC 2017,Sanjivani JADHAV,1,12 JUL 1996,Mangalagiri (IND),IND
230,15:51.60,09 MAY 2017,Veronica NYARUAI,2,29 OCT 1989,Nairobi (KEN),KEN
231,15:51.64,09 DEC 2017,Himawari YUDA,11f3,14 OCT 1997,Yamaguchi (JPN),JPN
232,15:51.76,08 JUL 2017,Viktoria KALYUZHNA,3,11 JUL 1994,Kropyvnytskiy (UKR),UKR
233,15:51.78,31 MAR 2017,Brenley GOERTZEN,2f2,,Palo Alto (USA),USA
233,15:51.78,06 MAY 2017,Tigist ABAYECHEW,1,22 FEB 1994,Tel Aviv (ISR),ETH
235,15:51.81,13 JUL 2017,Shiori MORITA,16f1,19 SEP 1995,Abashiri (JPN),JPN
236,15:52.01,31 MAR 2017,Peyton BILO,7f1,08 SEP 1997,Palo Alto (USA),USA
237,15:52.03,24 SEP 2017,Doricah OBARE,15f2,10 JAN 1990,Osaka (JPN),KEN
238,15:52.28,23 JUN 2017,Susan KIPSANG JEPTOOO,5,07 MAR 1987,Carquefou (FRA),KEN
239,15:52.46,13 JUL 2017,Nozomi TERAUCHI,17f1,02 DEC 1996,Abashiri (JPN),JPN
240,15:52.55,23 JUN 2017,Mekdes WOLDU,6,20 OCT 1992,Carquefou (FRA),ERI
241,15:52.57,09 JUL 2017,Yuki MITSUNOBU,4f1,09 NOV 1992,Kitami (JPN),JPN
242,15:52.60,23 SEP 2017,Shiho TAKECHI,3f2,18 AUG 1990,Yokohama (JPN),JPN
243,15:52.69,02 SEP 2017,Linn NILSSON,1,15 OCT 1990,Stockholm (SWE),SWE
244,15:52.70,29 APR 2017,Nozomi TANAKA,13f1,04 SEP 1999,Hiroshima (JPN),JPN
245,15:52.72,29 APR 2017,Kanayo MIYATA,14f1,14 FEB 1995,Hiroshima (JPN),JPN
246,15:52.78,10 JUN 2017,Liz COSTELLO,1,23 FEB 1988,Waltham (USA),USA
247,15:52.79,28 APR 2017,Kinsey GOMEZ,1f2,1992,Corvallis (USA),USA
248,15:52.87,23 APR 2017,Marina TOYOKAWA,1f3,23 MAY 1995,Yokohama (JPN),JPN
249,15:52.88,29 APR 2017,Anna GEHRING,3,15 NOV 1996,Berlin (GER),GER
250,15:52.92,18 MAY 2017,Sammy SILVA,12,1995,Los Angeles (USA),USA
251,15:53.02,14 APR 2017,Kristen FINDLEY,9f1,03 DEC 1990,Torrance (USA),USA
252,15:53.07,31 MAR 2017,Chelsey ALBERTSON,8f1,,Palo Alto (USA),USA
253,15:53.28,13 APR 2017,Alice WRIGHT,3f1,03 NOV 1994,Azusa (USA),GBR
254,15:53.32,09 JUL 2017,Madoka NAKANO,5f1,14 AUG 1991,Kitami (JPN),JPN
255,15:53.49,06 JUL 2017,Erica DIGBY,5,23 APR 1989,Ottawa (CAN),CAN
256,15:53.68,23 SEP 2017,Wakana ITSUKI,6f2,07 APR 1994,Yokohama (JPN),JPN
257,15:53.72,14 APR 2017,Tatiane Raquel DA SILVA,10f1,10 JUN 1990,Torrance (USA),BRA
258,15:53.74,24 SEP 2017,Erina YASUI,3f1,29 NOV 1989,Osaka (JPN),JPN
259,15:54.11,24 SEP 2017,Yuki KANEHIRA,5f1,22 JAN 1996,Osaka (JPN),JPN
260,15:54.30,18 FEB 2017,Jenny BLUNDELL,1f1,09 MAY 1994,Sydney (AUS),AUS
261,15:54.44,03 JUN 2017,Deborah PAM,1,21 SEP 1990,Abuja (NGR),NGR
262,15:54.59,02 JUL 2017,Yuna TERASHIMA,2,20 SEP 1997,Shibetsu (JPN),JPN
263,15:54.80,09 MAY 2017,Joyciline JEPKOSGEI,3,08 DEC 1993,Nairobi (KEN),KEN
264,15:55.37,02 JUN 2017,Alemitu HAWI,9,14 NOV 1996,And&#250;jar (ESP),ETH
265,15:55.39,29 APR 2017,Susan Wairimu MUKUNYA,16f1,11 OCT 1992,Hiroshima (JPN),KEN
266,15:55.53,07 SEP 2017,Yan SONG,5,10 DEC 1996,Tianjin (CHN),CHN
267,15:55.62,31 MAR 2017,Maggie MONTOYA,11f1,02 MAY 1995,Palo Alto (USA),USA
268,15:55.66,24 SEP 2017,Kayoko FUKUSHI,6f1,25 MAR 1982,Osaka (JPN),JPN
269,15:55.72,18 MAY 2017,Kaoutar FARKOUSSI,6,19 MAR 1996,Baku (AZE),MAR
270,15:56.23,14 APR 2017,Sandra L&#211;PEZ,1f2,16 APR 1984,Torrance (USA),MEX
271,15:56.24,16 DEC 2017,Maho SHIMIZU,1,1995,Kyoto (JPN),JPN
272,15:56.26,03 JUN 2017,Yuka ANDO,1f2,16 MAR 1994,Yokohama (JPN),JPN
273,15:56.32,09 JUL 2017,Kanako FUJIISHI,9f1,14 FEB 1993,Kitami (JPN),JPN
274,15:56.34,10 JUN 2017,Caroline SANG,12,,Eugene (USA),USA
275,15:56.38,06 MAY 2017,Ayaka FUJIMOTO,11f1,08 JUL 1997,Nobeoka (JPN),JPN
276,15:56.42,09 JUL 2017,Erina SHIRAKAWA,10f1,1997,Kitami (JPN),JPN
277,15:56.48,02 DEC 2017,Yukari ISHIZAWA,1f5,16 APR 1988,Yokohama (JPN),JPN
278,15:56.54,14 APR 2017,Mara OLSON,12f1,08 MAR 1993,Torrance (USA),USA
279,15:56.68,09 DEC 2017,Natsuki OMORI,2f2,22 JUN 1994,Yamaguchi (JPN),JPN
280,15:56.83,18 MAY 2017,Zhixuan LI,1,23 MAR 1994,Jinan (CHN),CHN
281,15:57.00,11 NOV 2017,Mai ISHIBASHI,4f3,02 JUL 1989,Yokohama (JPN),JPN
282,15:57.06,02 DEC 2017,Misaki NISHIDA,2f5,,Yokohama (JPN),JPN
283,15:57.30,28 MAY 2017,Ai HOSODA,2,27 NOV 1993,Yokohama (JPN),JPN
284,15:57.32,13 MAY 2017,Claire DUCK,4,29 AUG 1985,Solihull (GBR),GBR
285,15:57.36,31 MAR 2017,Clare O&#39;BRIEN,12f1,13 JAN 1999,Palo Alto (USA),AUS
286,15:57.43,02 JUN 2017,Galina IVANOVA,1,11 MAR 1976,Kazan (RUS),RUS
287,15:57.45,23 APR 2017,Michi NUMATA,2f3,06 MAY 1989,Yokohama (JPN),JPN
288,15:57.48,31 MAR 2017,Katie MCMENAMIN,13f1,,Palo Alto (USA),USA
289,15:57.51,09 DEC 2017,Mayuka TODA,3f2,,Yamaguchi (JPN),JPN
290,15:57.63,06 MAY 2017,Yuma ADACHI,3f2,19 JUL 1996,Nobeoka (JPN),JPN
291,15:57.71,15 OCT 2017,Sayaka MORI,3f3,,Yokohama (JPN),JPN
292,15:57.72,07 SEP 2017,Deshun ZHANG,6,21 FEB 1996,Tianjin (CHN),CHN
293,15:57.80,06 MAY 2017,Tabitha KAMAU,12f1,1998,Nobeoka (JPN),KEN
294,15:58.05,14 APR 2017,Jordann MCDERMITT,13f1,23 APR 1996,Torrance (USA),USA
295,15:58.29,31 MAR 2017,Grayson MURPHY,14f1,28 JUN 1995,Palo Alto (USA),USA
296,15:58.30,10 JUN 2017,Eva JERONO,2,15 AUG 1996,Nairobi (KEN),KEN
297,15:58.39,23 SEP 2017,Miku ANDO,8f2,12 APR 1992,Yokohama (JPN),JPN
297,15:58.39,21 OCT 2017,Akane FUJIWARA,10f2,1996,Oita (JPN),JPN
299,15:58.41,18 FEB 2017,Victoria MITCHELL,2f1,25 APR 1982,Sydney (AUS),AUS
300,15:58.50,18 MAY 2017,Jiali WANG,2,01 FEB 1986,Jinan (CHN),CHN
301,15:58.57,28 JUL 2017,Yelena SEDOVA,7,01 MAR 1990,Zhukovskiy (RUS),RUS
302,15:58.71,01 APR 2017,Misaki SANGO,6f2,21 APR 1989,Kumamoto (JPN),JPN
302,15:58.71,09 DEC 2017,Kanako TAKEMOTO,4f2,12 JUN 1996,Yamaguchi (JPN),JPN
304,15:58.88,22 APR 2017,Victoria GERLACH,3f1,02 JUN 1994,Charlottesville (USA),USA
305,15:59.00,31 MAR 2017,Weronika PYZIK,3f2,14 MAY 1996,Palo Alto (USA),POL
306,15:59.22,31 MAR 2017,Alicja KONIECZEK,1f3,02 NOV 1994,Palo Alto (USA),POL
307,15:59.23,09 DEC 2017,Ayari HARADA,5f2,,Yamaguchi (JPN),JPN
308,15:59.26,25 JUN 2017,Camilla RICHARDSSON,5,14 SEP 1993,Vaasa (FIN),FIN
309,15:59.28,29 APR 2017,Jana SUSSMANN,4,12 OCT 1990,Berlin (GER),GER
310,15:59.32,31 MAR 2017,Charlotte IMER,4f2,1994,Palo Alto (USA),AUS
311,15:59.33,02 DEC 2017,Rino MAEDA,3f5,,Yokohama (JPN),JPN
312,15:59.41,24 SEP 2017,Ayaka IKEGAME,7f1,01 OCT 1997,Osaka (JPN),JPN
313,15:59.54,02 DEC 2017,Kaede OKAJIMA,4f5,1999,Yokohama (JPN),JPN
314,15:59.60,29 MAY 2017,Agnes NGETICH,1,2000,Tambach (KEN),KEN
315,15:59.79,31 MAR 2017,Henna RUSTAMI,15f1,,Palo Alto (USA),USA
